;index;idUnico;nome;cep;endereco;descricao;funcaoSocial;metaGlobal;dataInicialPrevista;dataFinalPrevista;dataInicialEfetiva;dataFinalEfetiva;dataCadastro;especie;natureza;naturezaOutras;situacao;descPlanoNacionalPoliticaVinculado;uf;qdtEmpregosGerados;descPopulacaoBeneficiada;populacaoBeneficiada;observacoesPertinentes;isModeladaPorBim;dataSituacao;tomadores;executores;repassadores;eixos;tipos;subTipos;fontesDeRecurso;tomadores.nome;tomadores.codigo;executores.nome;executores.codigo;repassadores.nome;repassadores.codigo;eixos.id;eixos.descricao;subTipos.id;subTipos.descricao;subTipos.idTipo;fontesDeRecurso.origem;fontesDeRecurso.valorInvestimentoPrevisto
0;0;50379.53-54;DL - 304/2024 - Contratação de instituição para execução de serviços técnico-especializados para realização de atualizações no Método de Dimensionamento de Pavimentos Rígidos do DNI;;;Contratação de instituição para execução de serviços técnico-especializados para realização de atualizações no Método de Dimensionamento de Pavimentos Rígidos do DNI;Ampliação da capacidade de trafego visando a melhoria da segurança do usuário;Projetos Básicos e Executivos de Engenharia;2024-12-20;2027-12-05;;;2024-12-20;Construção;Outros;CONSULTORIA;Cadastrada;;DF;;;;;False;2024-12-20;[];[{'nome': 'DEPARTAMENTO NACIONAL DE INFRAESTRUTURA DE TRANSPORTES', 'codigo': 54844}];[];[{'id': 3, 'descricao': 'Econômico'}];[{'id': 25, 'descricao': 'Rodovia', 'idEixo': 3}];[{'id': 4, 'descricao': 'Acessos Terrestres', 'idTipo': 25}];[{'origem': 'Federal', 'valorInvestimentoPrevisto': 44463443.0}];;;DEPARTAMENTO NACIONAL DE INFRAESTRUTURA DE TRANSPORTES;54844;;;3;Econômico;4;Acessos Terrestres;25;Federal;44463443.0
1;1;42724.53-27;Escola Classe Crixá São Sebastião;;;Construção de Escola em Tempo Integral, Escola Classe Crixá Bairro: São Sebastião/Brasília -DF – Projeto Próprio.;A construção da nova escola beneficiará 977 estudantes, do 1º ao 5º ano do Ensino Fundamental, em turno integral, na região administrativa de São Sebastião, Brasília-DF.. Atualmente, não há unidades de ensino suficientes para atender, novo bairro criado em São Sebastião pelos programas habitacionais do governo, como o Morar Bem e o Minha Casa, Minha Vida. Crianças em idade escolar que precisam ser transportadas para outras regiões para estudar. A expansão da rede é essencial para garantir o acesso e a permanência dos estudantes na Rede Pública, reiterando o compromisso do DF com uma educação de qualidade. Fonte de dado: Sistema Interno da SEEDF (Argis).. Espera-se atender aos programas Escola em Tempo Integral - Lei nº 14.640/2023 e Compromisso Nacional Criança Alfabetizada – Decreto nº 11.556/2023, reduzindo a vulnerabilidade social e alcançando as metas estabelecidas no Plano Nacional de Educação (PNE) e no Plano Distrital de Educação (PDE) pelo Distrito Federal.;Construção de Escola em Tempo Integral, Escola Classe Crixá Bairro: São Sebastião/Brasília -DF – Projeto Próprio.;2024-09-02;2028-09-02;;;2024-08-30;Construção;Obra;;Cancelada;;DF;30;A população diretamente beneficiada pela EC Crixá, com capacidade para 385 alunos/turno, são crianças e jovens em idade escolar da comunidade local. A escola, com funcionamento em diferentes turnos, amplia o acesso à educação. Indiretamente, toda a comunidade se beneficia, com valorização da região, atração de novos moradores, geração de empregos e desenvolvimento local. ;385;;False;2025-09-05;[];[{'nome': 'SECRETARIA DE ESTADO DE EDUCACAO DO DISTRITO FEDERAL', 'codigo': 394676000107}];[{'nome': 'FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCAÇÃO', 'codigo': 253}];[{'id': 4, 'descricao': 'Social'}];[{'id': 46, 'descricao': 'Educação', 'idEixo': 4}];[{'id': 84, 'descricao': 'Educação', 'idTipo': 46}];[{'origem': 'Federal', 'valorInvestimentoPrevisto': 12319519.51}];;;SECRETARIA DE ESTADO DE EDUCACAO DO DISTRITO FEDERAL;394676000107;FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCAÇÃO;253;4;Social;84;Educação;46;Federal;12319519.51
2;2;19970.53-78;Reajuste do Contrato 45/2021 - Contrução do Centro de Formação e Aperfeiçoamento de Praças - CEFAP do CBMDF;70.602-600;SAIS Área Especial 3, Setor Policial Sul;Reajuste do Contrato 45/2021 - Construção do Centro de Formação e Aperfeiçoamento de Praças - CEFAP, situado no Setor Policial Sul lote 03, Asa Sul, Brasília-DF.;Contribuir para a melhor formação dos bombeiros militares que prestarão serviços à sociedade do DF.;Construção de um novo centro de formação e de aperfeiçoamento de praças.;2021-09-14;2024-08-28;;;2023-02-06;Construção;Obra;;Cadastrada;;DF;;;;;False;2023-02-06;[];[{'nome': 'CORPO DE BOMBEIROS MILITAR DO DISTRITO FEDERAL', 'codigo': 8977914000119}];[{'nome': 'CORPO DE BOMBEIROS MILITAR DO DISTRITO FEDERAL', 'codigo': 8977914000119}];[{'id': 1, 'descricao': 'Administrativo'}];[{'id': 1, 'descricao': 'Segurança Pública', 'idEixo': 1}];[{'id': 59, 'descricao': 'Obras em Imóveis de Uso Público', 'idTipo': 1}];[{'origem': 'Federal', 'valorInvestimentoPrevisto': 1177429.91}];;;CORPO DE BOMBEIROS MILITAR DO DISTRITO FEDERAL;8977914000119;CORPO DE BOMBEIROS MILITAR DO DISTRITO FEDERAL;8977914000119;1;Administrativo;59;Obras em Imóveis de Uso Público;1;Federal;1177429.91
3;3;24797.53-15;Implantação de Passarelas nas Estradas Parque do DF;;;Implantação de passarelas de estrutura mista nas rodovias Estradas Parques no DF.;Pedestres, no geral, demanda das ocupações lindeiras à faixa de domínio das rodovia, formando um grupo heterogêneo no sistema viário, dos quais, possuem idade e sexo distintos, além de englobarem pessoas com deficiência física e, em alguns casos, ciclistas... Os acidentes de trânsito são uma das principais causas de mortes no Brasil, sendo que o atropelamento é considerado o mais grave. Porém estes acidentes em rodovias localizadas em trechos urbanos têm aumentado. A implantação das passarelas possibilitará travessia segura, sobre as rodovias, em regiões de acentuado adensamento urbano.. Redução de acidentes por atropelamento, assim como promoção de local adequado para os usuários do sistema viário.;Implantação de passarelas de estrutura mista nas rodovias Estradas Parques no DF.;2023-08-30;2028-08-30;;;2023-08-28;Construção;Obra;;Cadastrada;;DF;;Pedestres que moram nas regiões de Planaltina, Núcleo Bandeirante e Guará. ;;;False;2023-08-28;[];[{'nome': 'DEPARTAMENTO DE ESTRADAS DE RODAGEM DO DISTRITO FEDERAL', 'codigo': 70532000103}];[{'nome': 'MINISTÉRIO DAS CIDADES', 'codigo': 308798}];[{'id': 3, 'descricao': 'Econômico'}];[{'id': 24, 'descricao': 'Infraestrutura Urbana e Mobilidade', 'idEixo': 3}];[{'id': 57, 'descricao': 'Obra de Arte Especial', 'idTipo': 24}];[{'origem': 'Federal', 'valorInvestimentoPrevisto': 10800000.0}];;;DEPARTAMENTO DE ESTRADAS DE RODAGEM DO DISTRITO FEDERAL;70532000103;MINISTÉRIO DAS CIDADES;308798;3;Econômico;57;Obra de Arte Especial;24;Federal;10800000.0
4;4;24822.53-70;obra de construção da  Cabine de Medição, localizado no Setor Central do Campus Universitário Darcy Ribeiro, da Universidade de Brasília, em Brasília/DF;;;obra de construção da  Cabine de Medição, localizado no Setor Central do Campus Universitário Darcy Ribeiro, da Universidade de Brasília, em Brasília/DF;"A demanda de carga elétrica do Campus Darcy Ribeiro aumenta progressivamente, em razão da instalação de novos
equipamentos de ar-condicionado, equipamentos para laboratórios, entre outros inerentes ao crescimento da Universidade. A
principal consequência disso é a sobrecarga nos cabeamentos do fornecimento de energia, que comprometem a qualidade da
infraestrutura elétrica. Nos meses de novembro e dezembro de 2019 atingiram valores de demanda de energia próximos ao pico
máximo já registrado, conforme relatado no documento SEI N. 5187620.
A Norma Técnica de Distribuição - NTD Nº 6.05, publicada pela CEB-D, trata do fornecimento de energia elétrica em tensão
primária de distribuição. Essa normativa define, entre outros aspectos, as características técnicas necessárias para o correto
funcionamento de subestações de entrada de energia, segundo os padrões técnicos da concessionária.
As subestações devem ter características de construção definitiva, ser de materiais incombustíveis e de estabilidade adequada,
oferecendo condições de bem-estar e segurança aos operadores, devem atender a requisitos de segurança e serem devidamente
protegidas contra danos acidentais decorrentes do meio ambiente.
Além disso, a disposição dos equipamentos deve oferecer condições adequadas de operação, segurança e facilidade de
substituição do todo ou parte, facilitados por corredores que obedeçam às dimensões recomendadas para viabilizar a correta
operação e manutenção dos sistemas, garantindo que o afastamento entre partes vivas também obedeça aos critérios técnicos
estabelecidos na NTD.
";"A demanda de carga elétrica do Campus Darcy Ribeiro aumenta progressivamente, em razão da instalação de novos
equipamentos de ar-condicionado, equipamentos para laboratórios, entre outros inerentes ao crescimento da Universidade. A
principal consequência disso é a sobrecarga nos cabeamentos do fornecimento de energia, que comprometem a qualidade da
infraestrutura elétrica. Nos meses de novembro e dezembro de 2019 atingiram valores de demanda de energia próximos ao pico
máximo já registrado, conforme relatado no documento SEI N. 5187620.
A Norma Técnica de Distribuição - NTD Nº 6.05, publicada pela CEB-D, trata do fornecimento de energia elétrica em tensão
primária de distribuição. Essa normativa define, entre outros aspectos, as características técnicas necessárias para o correto
funcionamento de subestações de entrada de energia, segundo os padrões técnicos da concessionária.
As subestações devem ter características de construção definitiva, ser de materiais incombustíveis e de estabilidade adequada,
oferecendo condições de bem-estar e segurança aos operadores, devem atender a requisitos de segurança e serem devidamente
protegidas contra danos acidentais decorrentes do meio ambiente.
Além disso, a disposição dos equipamentos deve oferecer condições adequadas de operação, segurança e facilidade de
substituição do todo ou parte, facilitados por corredores que obedeçam às dimensões recomendadas para viabilizar a correta
operação e manutenção dos sistemas, garantindo que o afastamento entre partes vivas também obedeça aos critérios técnicos
estabelecidos na NTD.
Atualmente, a cabine de medição do Campus Universitário Darcy Ribeiro está situada no subsolo do SG-12. Esta edificação é
ocupada pelo Departamento de Engenharia Civil para abrigar salas de aulas e laboratórios, cujo espaço físico não oferece as
condições técnicas necessárias para viabilizar a expansão de carga do campus.";2023-09-14;2024-03-14;;;2023-08-29;Construção;Obra;;Cadastrada;;DF;;;;;False;2023-08-29;[];[{'nome': 'FUNDACAO UNIVERSIDADE DE BRASILIA', 'codigo': 26271}];[{'nome': 'FUNDACAO UNIVERSIDADE DE BRASILIA', 'codigo': 26271}];[{'id': 3, 'descricao': 'Econômico'}, {'id': 3, 'descricao': 'Econômico'}];[{'id': 31, 'descricao': 'Energia', 'idEixo': 3}, {'id': 31, 'descricao': 'Energia', 'idEixo': 3}];[{'id': 95, 'descricao': 'Subestação', 'idTipo': 31}, {'id': 39, 'descricao': 'Empreendimento de Transmissão de Energia Elétrica', 'idTipo': 31}];[{'origem': 'Federal', 'valorInvestimentoPrevisto': 928139.7}];;;FUNDACAO UNIVERSIDADE DE BRASILIA;26271;FUNDACAO UNIVERSIDADE DE BRASILIA;26271;3;Econômico;95;Subestação;31;Federal;928139.7
5;5;24822.53-70;obra de construção da  Cabine de Medição, localizado no Setor Central do Campus Universitário Darcy Ribeiro, da Universidade de Brasília, em Brasília/DF;;;obra de construção da  Cabine de Medição, localizado no Setor Central do Campus Universitário Darcy Ribeiro, da Universidade de Brasília, em Brasília/DF;"A demanda de carga elétrica do Campus Darcy Ribeiro aumenta progressivamente, em razão da instalação de novos
equipamentos de ar-condicionado, equipamentos para laboratórios, entre outros inerentes ao crescimento da Universidade. A
principal consequência disso é a sobrecarga nos cabeamentos do fornecimento de energia, que comprometem a qualidade da
infraestrutura elétrica. Nos meses de novembro e dezembro de 2019 atingiram valores de demanda de energia próximos ao pico
máximo já registrado, conforme relatado no documento SEI N. 5187620.
A Norma Técnica de Distribuição - NTD Nº 6.05, publicada pela CEB-D, trata do fornecimento de energia elétrica em tensão
primária de distribuição. Essa normativa define, entre outros aspectos, as características técnicas necessárias para o correto
funcionamento de subestações de entrada de energia, segundo os padrões técnicos da concessionária.
As subestações devem ter características de construção definitiva, ser de materiais incombustíveis e de estabilidade adequada,
oferecendo condições de bem-estar e segurança aos operadores, devem atender a requisitos de segurança e serem devidamente
protegidas contra danos acidentais decorrentes do meio ambiente.
Além disso, a disposição dos equipamentos deve oferecer condições adequadas de operação, segurança e facilidade de
substituição do todo ou parte, facilitados por corredores que obedeçam às dimensões recomendadas para viabilizar a correta
operação e manutenção dos sistemas, garantindo que o afastamento entre partes vivas também obedeça aos critérios técnicos
estabelecidos na NTD.
";"A demanda de carga elétrica do Campus Darcy Ribeiro aumenta progressivamente, em razão da instalação de novos
equipamentos de ar-condicionado, equipamentos para laboratórios, entre outros inerentes ao crescimento da Universidade. A
principal consequência disso é a sobrecarga nos cabeamentos do fornecimento de energia, que comprometem a qualidade da
infraestrutura elétrica. Nos meses de novembro e dezembro de 2019 atingiram valores de demanda de energia próximos ao pico
máximo já registrado, conforme relatado no documento SEI N. 5187620.
A Norma Técnica de Distribuição - NTD Nº 6.05, publicada pela CEB-D, trata do fornecimento de energia elétrica em tensão
primária de distribuição. Essa normativa define, entre outros aspectos, as características técnicas necessárias para o correto
funcionamento de subestações de entrada de energia, segundo os padrões técnicos da concessionária.
As subestações devem ter características de construção definitiva, ser de materiais incombustíveis e de estabilidade adequada,
oferecendo condições de bem-estar e segurança aos operadores, devem atender a requisitos de segurança e serem devidamente
protegidas contra danos acidentais decorrentes do meio ambiente.
Além disso, a disposição dos equipamentos deve oferecer condições adequadas de operação, segurança e facilidade de
substituição do todo ou parte, facilitados por corredores que obedeçam às dimensões recomendadas para viabilizar a correta
operação e manutenção dos sistemas, garantindo que o afastamento entre partes vivas também obedeça aos critérios técnicos
estabelecidos na NTD.
Atualmente, a cabine de medição do Campus Universitário Darcy Ribeiro está situada no subsolo do SG-12. Esta edificação é
ocupada pelo Departamento de Engenharia Civil para abrigar salas de aulas e laboratórios, cujo espaço físico não oferece as
condições técnicas necessárias para viabilizar a expansão de carga do campus.";2023-09-14;2024-03-14;;;2023-08-29;Construção;Obra;;Cadastrada;;DF;;;;;False;2023-08-29;[];[{'nome': 'FUNDACAO UNIVERSIDADE DE BRASILIA', 'codigo': 26271}];[{'nome': 'FUNDACAO UNIVERSIDADE DE BRASILIA', 'codigo': 26271}];[{'id': 3, 'descricao': 'Econômico'}, {'id': 3, 'descricao': 'Econômico'}];[{'id': 31, 'descricao': 'Energia', 'idEixo': 3}, {'id': 31, 'descricao': 'Energia', 'idEixo': 3}];[{'id': 95, 'descricao': 'Subestação', 'idTipo': 31}, {'id': 39, 'descricao': 'Empreendimento de Transmissão de Energia Elétrica', 'idTipo': 31}];[{'origem': 'Federal', 'valorInvestimentoPrevisto': 928139.7}];;;FUNDACAO UNIVERSIDADE DE BRASILIA;26271;FUNDACAO UNIVERSIDADE DE BRASILIA;26271;3;Econômico;39;Empreendimento de Transmissão de Energia Elétrica;31;Federal;928139.7
6;8;4541.53-44;202111-22-Ronald 1;70067-901;2021122-Ronald - Endereço Completo;2021122-Ronald - Descrição do Projeto;2021122-Ronald - Descrição Funç]ap Social;20211122-Ronald - Descrição Meta Global;2021-12-10;2021-12-10;;;2021-11-17;Recuperação;Projeto de Investimento em Infraestrutura;outros;Cadastrada;;DF;;;;;;2021-11-17;[{'nome': 'FUND.UNIVERSIDADE FEDERAL VALE SAO FRANCISCO', 'codigo': 26230}];[{'nome': 'MINISTÉRIO DA INTEGRAÇÃO E DO DESENVOLVIMENTO REGIONAL', 'codigo': 308799}];[{'nome': 'MINISTÉRIO DA INTEGRAÇÃO E DO DESENVOLVIMENTO REGIONAL', 'codigo': 308799}];[{'id': 4, 'descricao': 'Social'}];[{'id': 45, 'descricao': 'Desenvolvimento', 'idEixo': 4}];[{'id': 38, 'descricao': 'Saneamento', 'idTipo': 45}];[{'origem': 'Federal', 'valorInvestimentoPrevisto': 300000002.0}];FUND.UNIVERSIDADE FEDERAL VALE SAO FRANCISCO;26230;MINISTÉRIO DA INTEGRAÇÃO E DO DESENVOLVIMENTO REGIONAL;308799;MINISTÉRIO DA INTEGRAÇÃO E DO DESENVOLVIMENTO REGIONAL;308799;4;Social;38;Saneamento;45;Federal;300000002.0
7;9;4545.53-03;202111-22-Ronald 1;70067-901;2021122-Ronald - Endereço Completo;2021122-Ronald - Descrição do Projeto;2021122-Ronald - Descrição Funç]ap Social;20211122-Ronald - Descrição Meta Global;2021-12-10;2021-12-10;;;2021-11-17;Reforma;Projeto de Investimento em Infraestrutura;outros;Cadastrada;;DF;;;;;;2021-11-17;[{'nome': 'FUND.UNIVERSIDADE FEDERAL VALE SAO FRANCISCO', 'codigo': 26230}];[{'nome': 'MINISTÉRIO DA INTEGRAÇÃO E DO DESENVOLVIMENTO REGIONAL', 'codigo': 308799}];[{'nome': 'MINISTÉRIO DA INTEGRAÇÃO E DO DESENVOLVIMENTO REGIONAL', 'codigo': 308799}];[{'id': 4, 'descricao': 'Social'}];[{'id': 45, 'descricao': 'Desenvolvimento', 'idEixo': 4}];[{'id': 38, 'descricao': 'Saneamento', 'idTipo': 45}];[{'origem': 'Federal', 'valorInvestimentoPrevisto': 30000006.0}];FUND.UNIVERSIDADE FEDERAL VALE SAO FRANCISCO;26230;MINISTÉRIO DA INTEGRAÇÃO E DO DESENVOLVIMENTO REGIONAL;308799;MINISTÉRIO DA INTEGRAÇÃO E DO DESENVOLVIMENTO REGIONAL;308799;4;Social;38;Saneamento;45;Federal;30000006.0
8;10;4546.53-60;202111-22-Ronald 1;70067-902;2021122-Ronald - Endereço Completo;2021122-Ronald - Descrição do Projeto;2021122-Ronald - Descrição Funç]ap Social;20211122-Ronald - Descrição Meta Global;2021-12-10;2021-12-10;;;2021-11-17;Reforma;Projeto de Investimento em Infraestrutura;outros;Cadastrada;;DF;;;;;;2021-11-17;[{'nome': 'FUND.UNIVERSIDADE FEDERAL VALE SAO FRANCISCO', 'codigo': 26230}];[{'nome': 'MINISTÉRIO DA INTEGRAÇÃO E DO DESENVOLVIMENTO REGIONAL', 'codigo': 308799}];[{'nome': 'MINISTÉRIO DA INTEGRAÇÃO E DO DESENVOLVIMENTO REGIONAL', 'codigo': 308799}];[{'id': 4, 'descricao': 'Social'}];[{'id': 45, 'descricao': 'Desenvolvimento', 'idEixo': 4}];[{'id': 38, 'descricao': 'Saneamento', 'idTipo': 45}];[{'origem': 'Federal', 'valorInvestimentoPrevisto': 30000007.0}];FUND.UNIVERSIDADE FEDERAL VALE SAO FRANCISCO;26230;MINISTÉRIO DA INTEGRAÇÃO E DO DESENVOLVIMENTO REGIONAL;308799;MINISTÉRIO DA INTEGRAÇÃO E DO DESENVOLVIMENTO REGIONAL;308799;4;Social;38;Saneamento;45;Federal;30000007.0
9;11;21324.53-75;Reforma Viveiro Agroecologia;73.380-900;Rodovia DF – 128, km 21, Zona Rural de Planaltina;Reforma/reestruturação do prédio de aulas práticas do curso de agroecologia, onde funciona um viveiro de plantas e incubatório de sementes. A edificação está com telhado danificado e estruturas de madeira danificados;Escolar;aumentar o alcance do conhecimento e aulas práticas nas instituições de ensino;2023-08-01;2023-12-31;;;2023-04-14;Recuperação;Obra;;Cadastrada;triplicar as matrículas da educação profissional técnica de nível médio, assegurando a qualidade da oferta e pelo menos 50% (cinquenta por cento) da expansão no segmento público;DF;;;;;False;2023-04-14;[{'nome': 'INSTITUTO FED. ED. CIENCIA E TEC. DE BRASILIA', 'codigo': 26356}];[{'nome': 'INSTITUTO FED. ED. CIENCIA E TEC. DE BRASILIA', 'codigo': 26356}];[{'nome': 'MINISTÉRIO DA EDUCAÇÃO', 'codigo': 244}];[{'id': 4, 'descricao': 'Social'}];[{'id': 46, 'descricao': 'Educação', 'idEixo': 4}];[{'id': 84, 'descricao': 'Educação', 'idTipo': 46}];[{'origem': 'Federal', 'valorInvestimentoPrevisto': 700000.0}];INSTITUTO FED. ED. CIENCIA E TEC. DE BRASILIA;26356;INSTITUTO FED. ED. CIENCIA E TEC. DE BRASILIA;26356;MINISTÉRIO DA EDUCAÇÃO;244;4;Social;84;Educação;46;Federal;700000.0
